,,,,,,,,,,,,,,,,,,,,,,Destek Unusrları(1),sartları,Destek Unusrları sart 1,Destek Unusrları sart 2,Destek Unusrları sart 3,Destek Unusrları sart 4,Destek Unusrları sart 5,Destek Unusrları sart 6,Destek Unusrları sart 7,Destek Unusrları sart 8,sorgulamam seçimi,kapasite,kanun,yatırım konusu,iozsart,revize id,,GTIP No,BIRIMI,ADI OZELLIGI,kullanıcı mail,rol,kayıt tarihi,dogrulamaKodu,kodGecerlilikTarihi,onayDurumu
firm id,unvan,cins,sınıf,,,,,,,,,OSB İli,OSB Ünvanı,ile göre osb,,Kod,Tanım,birleştir,,,,Sigorta Primi İşveren Hissesi,2 Yıl ve En Fazla Yatırım Tutarının %10'lu (1. Bölge),10 Yıl 6. Bölge,Var (Yerli ve İthal Liste - Tamamı),Yatırıma Katkı Oranı:%15 - Vergi İndirim %50 (1. Bölge),,,,,,AA0001,ABONE,2012/3305,111 / TAHIL VE BAŞKA YERDE SINIFLANDIRILMAMIŞ DİĞER BİTKİSEL ÜRÜNLERİN YETİŞTİRİLMESİ,DİĞER KURUM-3(21.08.2020),AA0001/zV1r0R,,"330741000000 - ""Agarbatti"" ve yakılarak kullanılan kokulu diğer müstahzarlar",ADET(UNIT),makina 1,hakanerbasss@gmail.com,admin,,,,Onaylandı
A000001,1A DENTAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Komple Yeni,Genel,,,,,,,,,Adana,Adana Gıda İhtisas,,,0111.0.01,Durum buğdayı (makarnalık buğday),0111.0.01-Durum buğdayı (makarnalık buğday),,,,Sigorta Primi İşveren Hissesi,3 Yıl ve En Fazla Yatırım Tutarının %15'i (2. Bölge),7 Yıl (Hamle Yüksek Teknoloji),,Yatırıma Katkı Oranı:%20 - Vergi İndirim %55 (2. Bölge),,,,,,AA0002,ABONE/GÜN,2018/11201,"112 / SEBZE, BAHÇE VE KÜLTÜR BİTKİLERİ İLE FİDANLIK ÜRÜNLERİNİN YETİŞTİRİLMESİ",BÖL - SGK NO,AA0005/259bfH,,"200599100000 - ""Capsicum""cinsi meyvalar (tatlı biberler ve dolmalık biber hariç)",KİLOGRAM,makına 2,gmevrak@gmail.com,admin,,,,Onaylandı
A000002,1A1K PLASTİK KALIP SANAYİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,Tevsi,Bölgesel,,,İL KOD,İLADI,İLCEKOD,İLCEADI,ilçe,,Adana,Adana Hacı Sabancı,,,0111.0.02,Yumuşak buğday ve diğer buğdaylar,0111.0.02-Yumuşak buğday ve diğer buğdaylar,,,,Sigorta Primi İşveren Hissesi,5 Yıl ve En Fazla Yatırım Tutarının %20'si (3. Bölge),5 Yıl (Hamle),,Yatırıma Katkı Oranı:%25 - Vergi İndirim %60 (3. Bölge),,,,,,AA0003,ABONE/YIL,2016/9495,"113 / MEYVE, SERT KABUKLULAR, İÇECEK VE BAHARAT BİTKİLERİNİN YETİŞTİRİLMESİ",BÖL 3305-SGK:Bölgesel-1.Bölge,,,"240391000000 - ""Homojenize"" veya yeniden tertip edilmiş tütün",METRE KARE,makına 3,,,,,,
A000003,34 İSTANBUL YAPI TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Modernizasyon,Bölgesel Alt Bölge,,,1,Adana,1757,Aladağ,,,Adana,Adana Karataş TDİ (Su Ürünleri),,,0111.0.03,Mısır,0111.0.03-Mısır,,,,Sigorta Primi İşveren Hissesi,6 Yıl ve En Fazla Yatırım Tutarının %25'i (4. Bölge),,,Yatırıma Katkı Oranı:%30 - Vergi İndirim %70 (4. Bölge),,,,,,AA0001,ABONELİK,,"121 / KOYUN, KEÇİ, SIĞIR, AT, EŞEK, BARDO, KATIR VB. YETİŞTİRİLMESİ; SÜT HAYVANCILIĞI",BÖL 3305-SGK:Bölgesel-2.Bölge,,,"902110900012 - ""Kemik tespit malzemesi (implantlar) (tıbbi çiviler, tıbbi plaklar dahil)",METRE,,,,,,,
A000004,3FAZ ENERJİ ELEKTRİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Entegrasyon,Bölgesel Alt Bölge 18-1-a,,,1,Adana,1219,Ceyhan,,,Adana,Adana TDİ (Sera),,,0111.0.04,Dış zarı çıkartılmamış pirinç (çeltik),0111.0.04-Dış zarı çıkartılmamış pirinç (çeltik),,,,Sigorta Primi İşveren Hissesi,7 Yıl ve En Fazla Yatırım Tutarının %35'i (5. Bölge),,,Yatırıma Katkı Oranı:%40 - Vergi İndirim %80 (5. Bölge),,,,,,AA0004,ADET,,122 / DİĞER HAYVANLARIN YETİŞTIRİLMESİ; BAŞKA YERDE SINIFLANDIRILMAMIŞ HAYVANSAL ÜRÜNLERİN ÜRETİMİ,BÖL 3305-SGK:Bölgesel-3.Bölge,,,"480640100000 - ""Kristal"" denilen kağıt",ÇİFT,,,,,,,
A000005,3N MİLİNG CENTER İTHALAT İHRACAT TİCARET ANONİM ŞİRKETİ,Ürün Çeşitlendirme,Bölgesel Alt Bölge 18-1-b,,,1,Adana,2033,Çukurova,,,Adana,Ceyhan,,,0111.0.05,Arpa,0111.0.05-Arpa,,,,Sigorta Primi İşveren Hissesi,10 Yıl  (6. Bölge),,,Yatırıma Katkı Oranı:%50 - Vergi İndirim %90 (6. Bölge),,,,,,AA0005,ADET/8 SAAT,,130 / HAYVANCILIKLA BİRLİKTE BİTKİSEL ÜRÜNLERİN YETİŞTİRİLMESİ (KARMA ÇİFTÇİLİK),BÖL 3305-SGK:Bölgesel-4.Bölge,,,"960910100000 - ""Kurşunları"" grafitten olanlar",LİTRE,,,,,,,
A000006,3P TEKNOLOJİ GELİŞTİRME VE DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Nakil,Bölgesel Alt Bölge 18-2,,,1,Adana,1329,Feke,,,Adana,Kozan,,,0111.0.06,çavdar ve yulaf,0111.0.06-çavdar ve yulaf,,,,Sigorta Primi İşveren Hissesi,7 Yıl ve En Fazla Yatırım Tutarının %15'i (Stratejik),,,Yatırıma Katkı Oranı:%50 - Vergi İndirim %90 (Stratejik),,,,,,,ADET/10L,,140 / TARIM VE HAYVANCILIKLA İLGİLİ HİZMETLER (VETERİNERLİK HARİÇ),BÖL 3305-SGK:Bölgesel-5.Bölge,,,"020744710000 - ""palto"" denilen kısımlar",ADET-ÇİFT,,,,,,,
A000007,4K ENDÜSTRİ MAKİNA SANAYİ LİMİTED ŞİRKETİ,Taşınma,Bölgesel Alt Bölge 18-3 OECD,,,1,Adana,1806,İmamoğlu,,,Adıyaman,Adıyaman,,,0111.0.07,Diğer tahıllar,0111.0.07-Diğer tahıllar,,,,Sigorta Primi İşveren Hissesi,7 Yıl (Hamle),,,,,,,,,,ADET/AY,,"150 / AVCILIK,TUZAKLA AVLAMA, AV HAYVANLARI ÜRETİCİLİĞİ VE İLGİLİ HİZMETLER",BÖL- Faliyet Zorunlukuğu,,,"020745710000 - ""palto"" denilen kısımlar",AFİF birim fiyatı,,,,,,,
A000008,5G GROUP PLASTİK METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,,Bölgesel Alt Bölge 18-3 OECD İstanbul,,,1,Adana,1437,Karaisalı,,,Adıyaman,Adıyaman Gölbaşı,,,0111.0.08,Patates,0111.0.08-Patates,,,,Gelir Vergisi Stopaj Desteği,10 Yıl,,,,,,,,,,ADET/BALON,,"200 / ORMANCILIK, TOMRUKÇULUK VE İLGİLİ HİZMET FAALİYETLERİ",BÖL - Faiz Desteği,,,"391220110011 - % 12,6'dan az oranda azot içeren ve % 25'den fazla oranda su",ALTIN AYARI,,,,,,,
A000009,7M VALF SANAYİ VE MÜHENDİSLİK ANONİM ŞİRKETİ,,Bölgesel Alt Bölge 18-5 ilçe,,,1,Adana,1443,Karataş,,,Adıyaman,Adıyaman Kahta,,,0111.0.09,Kuru baklagil sebzeler (kabuklu),0111.0.09-Kuru baklagil sebzeler (kabuklu),,,,Sigorta Prim Desteği,10 Yıl 6. Bölge,,,,,,,,,,ADET/DAKİKA,,"500 / BALIKÇILIK, BALIK ÜRETME VE YETİŞTİRME ÇİFTLİKLERİNİN İŞLETİLMESİ VE BALIKÇILIKLA İLGİLİ HİZMETLER",SİGORTA BAŞLAMA,,,"391220190011 - % 12,6'dan az oranda azot içeren ve % 25'den fazla oranda su",ATV birim fiyatı,,,,,,,
