;;;;
;İL KOD;İLADI;İLCEKOD;İLCEADI
;9;Aydın;1479;Koçarlı
;9;Aydın;1968;Köşk
;9;Aydın;1497;Kuşadası
;9;Aydın;1498;Kuyucak
;9;Aydın;1542;Nazilli
;9;Aydın;1637;Söke
;9;Aydın;1640;Sultanhisar
;9;Aydın;1724;Yenipazar / Aydın
;10;Balıkesir;1161;Ayvalık
;10;Balıkesir;1168;Balıkesir Merkez
;10;Balıkesir;1169;Balya
;10;Balıkesir;1171;Bandırma
;10;Balıkesir;1191;Bigadiç
;10;Balıkesir;1216;Burhaniye
;10;Balıkesir;1291;Dursunbey
;10;Balıkesir;1294;Edremit / Balıkesir
;10;Balıkesir;1310;Erdek
;10;Balıkesir;1928;Gömeç
;10;Balıkesir;1360;Gönen / Balıkesir
;10;Balıkesir;1384;Havran
;10;Balıkesir;1418;İvrindi
;10;Balıkesir;1462;Kepsut
;10;Balıkesir;1514;Manyas
;10;Balıkesir;1824;Marmara
;10;Balıkesir;1608;Savaştepe
;10;Balıkesir;1619;Sındırgı
;10;Balıkesir;1644;Susurluk
;11;Bilecik;1192;Bilecik Merkez
;11;Bilecik;1210;Bozüyük
;11;Bilecik;1359;Gölpazarı
;11;Bilecik;1948;İnhisar
;11;Bilecik;1559;Osmaneli
;11;Bilecik;1571;Pazaryeri
;11;Bilecik;1636;Söğüt
;11;Bilecik;1857;Yenipazar / Bilecik
;12;Bingöl;1750;Adaklı
;12;Bingöl;1193;Bingöl Merkez
;12;Bingöl;1344;Genç
;12;Bingöl;1446;Karlıova
;12;Bingöl;1475;Kiğı
;12;Bingöl;1633;Solhan
;12;Bingöl;1855;Yayladere
;12;Bingöl;1996;Yedisu
;13;Bitlis;1106;Adilcevaz
;13;Bitlis;1112;Ahlat
;13;Bitlis;1196;Bitlis Merkez
;13;Bitlis;1798;Güroymak
;13;Bitlis;1394;Hizan
;13;Bitlis;1537;Mutki
;13;Bitlis;1669;Tatvan
;14;Bolu;1199;Bolu Merkez
;14;Bolu;1916;Dörtdivan
;14;Bolu;1346;Gerede
;14;Bolu;1364;Göynük
;14;Bolu;1466;Kıbrıscık
;14;Bolu;1522;Mengen
;14;Bolu;1531;Mudurnu
;14;Bolu;1610;Seben
;14;Bolu;1997;Yeniçağa
;15;Burdur;1109;Ağlasun
;15;Burdur;1874;Altınyayla / Burdur
;15;Burdur;1211;Bucak
;15;Burdur;1215;Burdur Merkez
;15;Burdur;1899;Çavdır
;15;Burdur;1903;Çeltikçi
;15;Burdur;1357;Gölhisar
;15;Burdur;1813;Karamanlı
;15;Burdur;1816;Kemer / Burdur
;15;Burdur;1672;Tefenni
;15;Burdur;1728;Yeşilova
;16;Bursa;1783;Büyükorhan
;16;Bursa;1343;Gemlik
;16;Bursa;1935;Gürsu
;16;Bursa;1799;Harmancık
;16;Bursa;1411;İnegöl
;16;Bursa;1420;İznik
;16;Bursa;1434;Karacabey
;16;Bursa;1457;Keles
;16;Bursa;1960;Kestel
;16;Bursa;1530;Mudanya
;16;Bursa;1535;Mustafakemalpaşa
;16;Bursa;1829;Nilüfer
;16;Bursa;1553;Orhaneli
;16;Bursa;1554;Orhangazi
;16;Bursa;1832;Osmangazi
;16;Bursa;1725;Yenişehir / Bursa
;16;Bursa;1859;Yıldırım
;17;Çanakkale;1160;Ayvacık / Çanakkale
;17;Çanakkale;1180;Bayramiç
;17;Çanakkale;1190;Biga
;17;Çanakkale;1205;Bozcaada
;17;Çanakkale;1229;Çan
;17;Çanakkale;1230;Çanakkale Merkez
;17;Çanakkale;1293;Eceabat
;17;Çanakkale;1326;Ezine
;17;Çanakkale;1340;Gelibolu
;17;Çanakkale;1408;Gökçeada
;17;Çanakkale;1503;Lapseki
;17;Çanakkale;1722;Yenice / Çanakkale
;18;Çankırı;1765;Atkaracalar
;18;Çankırı;1885;Bayramören
;18;Çankırı;1232;Çankırı Merkez
;18;Çankırı;1248;Çerkeş
;18;Çankırı;1300;Eldivan
;18;Çankırı;1399;Ilgaz
;18;Çankırı;1817;Kızılırmak
;18;Çankırı;1963;Korgun
;18;Çankırı;1494;Kurşunlu
;18;Çankırı;1555;Orta
;18;Çankırı;1649;Şabanözü
;18;Çankırı;1718;Yapraklı
;19;Çorum;1124;Alaca
;19;Çorum;1177;Bayat / Çorum
;19;Çorum;1778;Boğazkale
;19;Çorum;1259;Çorum Merkez
;19;Çorum;1911;Dodurga
;19;Çorum;1414;İskilip
;19;Çorum;1445;Kargı
;19;Çorum;1972;Laçin
;19;Çorum;1520;Mecitözü
;19;Çorum;1976;Oğuzlar
;19;Çorum;1556;Ortaköy / Çorum
;19;Çorum;1558;Osmancık
;19;Çorum;1642;Sungurlu
;19;Çorum;1850;Uğurludağ
;20;Denizli;1102;Acıpayam
;20;Denizli;1871;Akköy
;20;Denizli;1769;Babadağ
;20;Denizli;1881;Baklan
;20;Denizli;1774;Bekilli
;20;Denizli;1888;Beyağaç
;20;Denizli;1889;Bozkurt / Denizli
;20;Denizli;1214;Buldan
;20;Denizli;1224;Çal
;20;Denizli;1226;Çameli
;20;Denizli;1233;Çardak
;20;Denizli;1257;Çivril
;20;Denizli;1271;Denizli Merkez
;20;Denizli;1371;Güney
;20;Denizli;1803;Honaz
;20;Denizli;1426;Kale / Denizli
;20;Denizli;1597;Sarayköy
;20;Denizli;1840;Serinhisar
;20;Denizli;1670;Tavas
;21;Diyarbakır;2040;Bağlar
;21;Diyarbakır;1195;Bismil
;21;Diyarbakır;1249;Çermik
;21;Diyarbakır;1253;Çınar
;21;Diyarbakır;1263;Çüngüş
;21;Diyarbakır;1278;Dicle
;21;Diyarbakır;1791;Eğil
;21;Diyarbakır;1315;Ergani
;21;Diyarbakır;1381;Hani
;21;Diyarbakır;1389;Hazro
;21;Diyarbakır;2041;Kayapınar
;21;Diyarbakır;1962;Kocaköy
;21;Diyarbakır;1490;Kulp
;21;Diyarbakır;1504;Lice
;21;Diyarbakır;1624;Silvan
;21;Diyarbakır;2042;Sur
;21;Diyarbakır;2043;Yenişehir / Diyarbakır
;22;Edirne;1295;Edirne Merkez
;22;Edirne;1307;Enez
;22;Edirne;1385;Havsa
;22;Edirne;1412;İpsala
;22;Edirne;1464;Keşan
;22;Edirne;1502;Lalapaşa
;22;Edirne;1523;Meriç
;22;Edirne;1988;Süloğlu
;22;Edirne;1705;Uzunköprü
;23;Elazığ;1110;Ağın
;23;Elazığ;1873;Alacakaya
;23;Elazığ;1762;Arıcak
;23;Elazığ;1173;Baskil
;23;Elazığ;1298;Elazığ Merkez
;23;Elazığ;1438;Karakoçan
;23;Elazığ;1455;Keban
;23;Elazığ;1820;Kovancılar
;23;Elazığ;1506;Maden
;23;Elazığ;1566;Palu
;23;Elazığ;1631;Sivrice
;24;Erzincan;1243;Çayırlı
;24;Erzincan;1318;Erzincan Merkez
;24;Erzincan;1406;İliç
;24;Erzincan;1459;Kemah
;24;Erzincan;1460;Kemaliye
;24;Erzincan;1977;Otlukbeli
;24;Erzincan;1583;Refahiye
;24;Erzincan;1675;Tercan
;24;Erzincan;1853;Üzümlü
;25;Erzurum;1153;Aşkale
;25;Erzurum;1945;Aziziye
;25;Erzurum;1235;Çat
;25;Erzurum;1392;Hınıs
;25;Erzurum;1396;Horasan
;25;Erzurum;1416;İspir
;25;Erzurum;1812;Karaçoban
;25;Erzurum;1444;Karayazı
;25;Erzurum;1967;Köprüköy
;25;Erzurum;1540;Narman
;25;Erzurum;1550;Oltu
;25;Erzurum;1551;Olur
;25;Erzurum;2044;Palandöken
;25;Erzurum;1567;Pasinler
;25;Erzurum;1865;Pazaryolu
;25;Erzurum;1657;Şenkaya
;25;Erzurum;1674;Tekman
;25;Erzurum;1683;Tortum
;25;Erzurum;1851;Uzundere
;25;Erzurum;2045;Yakutiye
;26;Eskişehir;1759;Alpu
;26;Eskişehir;1777;Beylikova
;26;Eskişehir;1255;Çifteler
;26;Eskişehir;1934;Günyüzü
;26;Eskişehir;1939;Han
;26;Eskişehir;1808;İnönü
;26;Eskişehir;1508;Mahmudiye
;26;Eskişehir;1973;Mihalgazi
;26;Eskişehir;1527;Mihalıççık
;26;Eskişehir;2046;Odunpazarı
;26;Eskişehir;1599;Sarıcakaya
;26;Eskişehir;1618;Seyitgazi
;26;Eskişehir;1632;Sivrihisar
;26;Eskişehir;2047;Tepebaşı
;27;Gaziantep;1139;Araban
;27;Gaziantep;1415;İslahiye
;27;Gaziantep;1956;Karkamış
;27;Gaziantep;1546;Nizip
;27;Gaziantep;1974;Nurdağı
;27;Gaziantep;1549;Oğuzeli
;27;Gaziantep;1841;Şahinbey
;27;Gaziantep;1844;Şehitkamil
;27;Gaziantep;1720;Yavuzeli
;28;Giresun;1133;Alucra
;28;Giresun;1212;Bulancak
;28;Giresun;1893;Çamoluk
;28;Giresun;1894;Çanakçı
;28;Giresun;1272;Dereli
;28;Giresun;1912;Doğankent
;28;Giresun;1320;Espiye
;28;Giresun;1324;Eynesil
;28;Giresun;1352;Giresun Merkez
;28;Giresun;1361;Görele
;28;Giresun;1930;Güce
;28;Giresun;1465;Keşap
;28;Giresun;1837;Piraziz
;28;Giresun;1654;Şebinkarahisar
;28;Giresun;1678;Tirebolu
;28;Giresun;1854;Yağlıdere
;29;Gümüşhane;1369;Gümüşhane Merkez
;29;Gümüşhane;1458;Kelkit
;29;Gümüşhane;1822;Köse
;29;Gümüşhane;1971;Kürtün
;29;Gümüşhane;1660;Şiran
;29;Gümüşhane;1684;Torul
;30;Hakkari;1261;Çukurca
;30;Hakkari;1377;Hakkari Merkez
;30;Hakkari;1656;Şemdinli
;30;Hakkari;1737;Yüksekova
;31;Hatay;1131;Altınözü
;31;Hatay;1887;Belen
;31;Hatay;1289;Dörtyol
;31;Hatay;1792;Erzin
;31;Hatay;1382;Hassa
;31;Hatay;1383;Hatay Merkez
;31;Hatay;1413;İskenderun
;31;Hatay;1468;Kırıkhan
;31;Hatay;1970;Kumlu
;31;Hatay;1585;Reyhanlı
;31;Hatay;1591;Samandağ
;31;Hatay;1721;Yayladağı
;32;Isparta;1755;Aksu / Isparta
;32;Isparta;1154;Atabey
;32;Isparta;1297;Eğirdir
;32;Isparta;1341;Gelendost
;32;Isparta;1929;Gönen / Isparta
;32;Isparta;1401;Isparta Merkez
;32;Isparta;1456;Keçiborlu
;32;Isparta;1615;Senirkent
;32;Isparta;1648;Sütçüler
;32;Isparta;1651;Şarkikaraağaç
;32;Isparta;1699;Uluborlu
;32;Isparta;1717;Yalvaç
;32;Isparta;2001;Yenişarbademli
;33;Mersin;2064;Akdeniz
;33;Mersin;1135;Anamur
;33;Mersin;1766;Aydıncık / Mersin
;33;Mersin;1779;Bozyazı
;33;Mersin;1892;Çamlıyayla
;33;Mersin;1311;Erdemli
;33;Mersin;1366;Gülnar
;33;Mersin;2065;Mezitli
;33;Mersin;1536;Mut
;33;Mersin;1621;Silifke
;33;Mersin;1665;Tarsus
;33;Mersin;2066;Toroslar
;33;Mersin;2067;Yenişehir / Mersin
;34;İstanbul;1103;Adalar
;34;İstanbul;2048;Arnavutköy
;34;İstanbul;2049;Ataşehir
;34;İstanbul;2003;Avcılar
;34;İstanbul;2004;Bağcılar
;34;İstanbul;2005;Bahçelievler
;34;İstanbul;1166;Bakırköy
;34;İstanbul;2050;Başakşehir
;34;İstanbul;1886;Bayrampaşa
;34;İstanbul;1183;Beşiktaş
;34;İstanbul;1185;Beykoz
;34;İstanbul;2051;Beylikdüzü
;34;İstanbul;1186;Beyoğlu
;34;İstanbul;1782;Büyükçekmece
;34;İstanbul;1237;Çatalca
;34;İstanbul;2052;Çekmeköy
;34;İstanbul;2016;Esenler
;34;İstanbul;2053;Esenyurt
;34;İstanbul;1325;Eyüp
;34;İstanbul;1327;Fatih
;34;İstanbul;1336;Gaziosmanpaşa
;34;İstanbul;2010;Güngören
;34;İstanbul;1421;Kadıköy
;34;İstanbul;1810;Kağıthane
;34;İstanbul;1449;Kartal
;34;İstanbul;1823;Küçükçekmece
;34;İstanbul;2012;Maltepe
;34;İstanbul;1835;Pendik
;34;İstanbul;2054;Sancaktepe
;34;İstanbul;1604;Sarıyer
;34;İstanbul;1622;Silivri
;34;İstanbul;2014;Sultanbeyli
;34;İstanbul;2055;Sultangazi
;34;İstanbul;1659;Şile
;34;İstanbul;1663;Şişli
;34;İstanbul;2015;Tuzla
;34;İstanbul;1852;Ümraniye
;34;İstanbul;1708;Üsküdar
;34;İstanbul;1739;Zeytinburnu
;35;İzmir;1128;Aliağa
;35;İzmir;2006;Balçova
;35;İzmir;1178;Bayındır
;35;İzmir;2056;Bayraklı
;35;İzmir;1181;Bergama
;35;İzmir;1776;Beydağ
;35;İzmir;1203;Bornova
;35;İzmir;1780;Buca
;35;İzmir;1251;Çeşme
;35;İzmir;2007;Çiğli
;35;İzmir;1280;Dikili
;35;İzmir;1334;Foça
;35;İzmir;2009;Gaziemir
;35;İzmir;2018;Güzelbahçe
;35;İzmir;2057;Karabağlar
;35;İzmir;1432;Karaburun
;35;İzmir;1448;Karşıyaka
;35;İzmir;1461;Kemalpaşa
;35;İzmir;1467;Kınık
;35;İzmir;1477;Kiraz
;35;İzmir;1819;Konak
;35;İzmir;1826;Menderes
;35;İzmir;1521;Menemen
;35;İzmir;2013;Narlıdere
;35;İzmir;1563;Ödemiş
;35;İzmir;1611;Seferihisar
;35;İzmir;1612;Selçuk
;35;İzmir;1677;Tire
;35;İzmir;1682;Torbalı
;35;İzmir;1703;Urla
;36;Kars;1756;Akyaka
;36;Kars;1149;Arpaçay
;36;Kars;1279;Digor
;36;Kars;1424;Kağızman
;36;Kars;1447;Kars Merkez
;36;Kars;1601;Sarıkamış
;36;Kars;1614;Selim
;36;Kars;1645;Susuz
;37;Kastamonu;1101;Abana
;37;Kastamonu;1867;Ağlı
;37;Kastamonu;1140;Araç
;37;Kastamonu;1162;Azdavay
;37;Kastamonu;1208;Bozkurt / Kastamonu
;37;Kastamonu;1221;Cide
;37;Kastamonu;1238;Çatalzeytin
;37;Kastamonu;1264;Daday
;37;Kastamonu;1277;Devrekani
;37;Kastamonu;1915;Doğanyurt
;37;Kastamonu;1940;Hanönü
;37;Kastamonu;1805;İhsangazi
;37;Kastamonu;1410;İnebolu
;37;Kastamonu;1450;Kastamonu Merkez
;37;Kastamonu;1499;Küre
;37;Kastamonu;1836;Pınarbaşı / Kastamonu
;37;Kastamonu;1984;Seydiler
;37;Kastamonu;1845;Şenpazar
;37;Kastamonu;1666;Taşköprü
;37;Kastamonu;1685;Tosya
;38;Kayseri;1752;Akkışla
;38;Kayseri;1218;Bünyan
;38;Kayseri;1275;Develi
;38;Kayseri;1330;Felahiye
;38;Kayseri;1936;Hacılar
;38;Kayseri;1409;İncesu
;38;Kayseri;1863;Kocasinan
;38;Kayseri;1864;Melikgazi
;38;Kayseri;1978;Özvatan
;38;Kayseri;1576;Pınarbaşı / Kayseri
;38;Kayseri;1603;Sarıoğlan
;38;Kayseri;1605;Sarız
;38;Kayseri;1846;Talas
;38;Kayseri;1680;Tomarza
;38;Kayseri;1715;Yahyalı
;38;Kayseri;1727;Yeşilhisar
;39;Kırklareli;1163;Babaeski
;39;Kırklareli;1270;Demirköy
;39;Kırklareli;1471;Kırklareli Merkez
;39;Kırklareli;1480;Kofçaz
;39;Kırklareli;1505;Lüleburgaz
;39;Kırklareli;1572;Pehlivanköy
;39;Kırklareli;1577;Pınarhisar
;39;Kırklareli;1714;Vize
;40;Kırşehir;1869;Akçakent
;40;Kırşehir;1754;Akpınar
;40;Kırşehir;1890;Boztepe
;40;Kırşehir;1254;Çiçekdağı
;40;Kırşehir;1429;Kaman
;40;Kırşehir;1472;Kırşehir Merkez
;40;Kırşehir;1529;Mucur
;41;Kocaeli;2058;Başiskele
;41;Kocaeli;2059;Çayırova
;41;Kocaeli;2060;Darıca
;41;Kocaeli;2030;Derince
;41;Kocaeli;2061;Dilovası
;41;Kocaeli;1338;Gebze
;41;Kocaeli;1355;Gölcük
;41;Kocaeli;2062;İzmit
;41;Kocaeli;1430;Kandıra
;41;Kocaeli;1440;Karamürsel
;41;Kocaeli;2063;Kartepe
;41;Kocaeli;1821;Körfez
;42;Konya;1868;Ahırlı
;42;Konya;1753;Akören
;42;Konya;1122;Akşehir
;42;Konya;1760;Altınekin
;42;Konya;1188;Beyşehir
;42;Konya;1207;Bozkır
;42;Konya;1222;Cihanbeyli
;42;Konya;1902;Çeltik
;42;Konya;1262;Çumra
;42;Konya;1907;Derbent
;42;Konya;1789;Derebucak
;42;Konya;1285;Doğanhisar
;42;Konya;1920;Emirgazi
;42;Konya;1312;Ereğli / Konya
;42;Konya;1933;Güneysınır
;42;Konya;1375;Hadim
;42;Konya;1937;Halkapınar
;42;Konya;1804;Hüyük
;42;Konya;1400;Ilgın
;42;Konya;1422;Kadınhanı
;42;Konya;1441;Karapınar
;42;Konya;1814;Karatay
;42;Konya;1491;Kulu
;42;Konya;1827;Meram
;42;Konya;1598;Sarayönü
;42;Konya;1839;Selçuklu
;42;Konya;1617;Seydişehir
;42;Konya;1848;Taşkent
;42;Konya;1990;Tuzlukçu
;42;Konya;1994;Yalıhüyük
;42;Konya;1735;Yunak
;43;Kütahya;1132;Altıntaş
;43;Kütahya;1764;Aslanapa
;43;Kütahya;1898;Çavdarhisar
;43;Kütahya;1288;Domaniç
;43;Kütahya;1790;Dumlupınar
;43;Kütahya;1304;Emet
;43;Kütahya;1339;Gediz
;43;Kütahya;1802;Hisarcık
;43;Kütahya;1500;Kütahya Merkez
;43;Kütahya;1979;Pazarlar
;43;Kütahya;1625;Simav
;43;Kütahya;1843;Şaphane
;43;Kütahya;1671;Tavşanlı
;44;Malatya;1114;Akçadağ
;44;Malatya;1143;Arapgir
;44;Malatya;1148;Arguvan
;44;Malatya;1772;Battalgazi
;44;Malatya;1265;Darende
;44;Malatya;1286;Doğanşehir
;44;Malatya;1914;Doğanyol
;44;Malatya;1390;Hekimhan
;44;Malatya;1953;Kale / Malatya
;44;Malatya;1969;Kuluncak
;44;Malatya;1509;Malatya Merkez
;44;Malatya;1582;Pütürge
;44;Malatya;1995;Yazıhan
;44;Malatya;1729;Yeşilyurt / Malatya
;45;Manisa;1751;Ahmetli
;45;Manisa;1118;Akhisar
;45;Manisa;1127;Alaşehir
;45;Manisa;1269;Demirci
;45;Manisa;1793;Gölmarmara
;45;Manisa;1362;Gördes
;45;Manisa;1470;Kırkağaç
;45;Manisa;1965;Köprübaşı / Manisa
;45;Manisa;1489;Kula
;45;Manisa;1513;Manisa Merkez
;45;Manisa;1590;Salihli
;45;Manisa;1600;Sarıgöl
;45;Manisa;1606;Saruhanlı
;45;Manisa;1613;Selendi
;45;Manisa;1634;Soma
;45;Manisa;1689;Turgutlu
;46;Kahramanmaraş;1107;Afşin
;46;Kahramanmaraş;1136;Andırın
;46;Kahramanmaraş;1785;Çağlıyancerit
;46;Kahramanmaraş;1919;Ekinözü
;46;Kahramanmaraş;1299;Elbistan
;46;Kahramanmaraş;1353;Göksun
;46;Kahramanmaraş;1515;Kahramanmaraş Merkez
;46;Kahramanmaraş;1975;Nurhak
;46;Kahramanmaraş;1570;Pazarcık
;46;Kahramanmaraş;1694;Türkoğlu
;47;Mardin;1787;Dargeçit
;47;Mardin;1273;Derik
;47;Mardin;1474;Kızıltepe
;47;Mardin;1516;Mardin Merkez
;47;Mardin;1519;Mazıdağı
;47;Mardin;1526;Midyat
;47;Mardin;1547;Nusaybin
;47;Mardin;1564;Ömerli
;47;Mardin;1609;Savur
;47;Mardin;2002;Yeşilli
;48;Muğla;1197;Bodrum
;48;Muğla;1742;Dalaman
;48;Muğla;1266;Datça
;48;Muğla;1331;Fethiye
;48;Muğla;1958;Kavaklıdere
;48;Muğla;1488;Köyceğiz
;48;Muğla;1517;Marmaris
;48;Muğla;1528;Milas
;48;Muğla;1532;Muğla Merkez
;48;Muğla;1831;Ortaca
;48;Muğla;1695;Ula
;48;Muğla;1719;Yatağan
;49;Muş;1213;Bulanık
;49;Muş;1801;Hasköy
;49;Muş;1964;Korkut
;49;Muş;1510;Malazgirt
;49;Muş;1534;Muş Merkez
;49;Muş;1711;Varto
;50;Nevşehir;1749;Acıgöl
;50;Nevşehir;1155;Avanos
;50;Nevşehir;1274;Derinkuyu
;50;Nevşehir;1367;Gülşehir
;50;Nevşehir;1374;Hacıbektaş
;50;Nevşehir;1485;Kozaklı
;50;Nevşehir;1543;Nevşehir Merkez
;50;Nevşehir;1707;Ürgüp
;51;Niğde;1876;Altunhisar
;51;Niğde;1201;Bor
;51;Niğde;1225;Çamardı
;51;Niğde;1904;Çiftlik
;51;Niğde;1544;Niğde Merkez
;51;Niğde;1700;Ulukışla
;52;Ordu;1119;Akkuş
;52;Ordu;1158;Aybastı
;52;Ordu;1891;Çamaş
;52;Ordu;1897;Çatalpınar
;52;Ordu;1900;Çaybaşı
;52;Ordu;1328;Fatsa
;52;Ordu;1358;Gölköy
;52;Ordu;1795;Gülyalı
;52;Ordu;1797;Gürgentepe
;52;Ordu;1947;İkizce
;52;Ordu;1950;Kabadüz
;52;Ordu;1951;Kabataş
;52;Ordu;1482;Korgan
;52;Ordu;1493;Kumru
;52;Ordu;1525;Mesudiye
;52;Ordu;1552;Ordu Merkez
;52;Ordu;1573;Perşembe
;52;Ordu;1696;Ulubey / Ordu
;52;Ordu;1706;Ünye
;53;Rize;1146;Ardeşen
;53;Rize;1228;Çamlıhemşin
;53;Rize;1241;Çayeli
;53;Rize;1908;Derepazarı
;53;Rize;1332;Fındıklı
;53;Rize;1796;Güneysu
;53;Rize;1943;Hemşin
;53;Rize;1405;İkizdere
;53;Rize;1949;İyidere
;53;Rize;1428;Kalkandere
;53;Rize;1569;Pazar / Rize
;53;Rize;1586;Rize Merkez
;54;Sakarya;2068;Adapazarı
;54;Sakarya;1123;Akyazı
;54;Sakarya;2069;Arifiye
;54;Sakarya;2070;Erenler
;54;Sakarya;1925;Ferizli
;54;Sakarya;1351;Geyve
;54;Sakarya;1391;Hendek
;54;Sakarya;1955;Karapürçek
;54;Sakarya;1442;Karasu
;54;Sakarya;1453;Kaynarca
;54;Sakarya;1818;Kocaali
;54;Sakarya;1833;Pamukova
;54;Sakarya;1595;Sapanca
;54;Sakarya;2071;Serdivan
;54;Sakarya;1986;Söğütlü
;54;Sakarya;1847;Taraklı
;55;Samsun;1125;Alaçam
;55;Samsun;1763;Asarcık
;55;Samsun;2072;Atakum
;55;Samsun;1879;Ayvacık / Samsun
;55;Samsun;1164;Bafra
;55;Samsun;2073;Canik
;55;Samsun;1234;Çarşamba
;55;Samsun;1386;Havza
;55;Samsun;2074;İlkadım
;55;Samsun;1452;Kavak
;55;Samsun;1501;Ladik
;55;Samsun;1830;Ondokuzmayıs
;55;Samsun;1838;Salıpazarı
;55;Samsun;1849;Tekkeköy
;55;Samsun;1676;Terme
;55;Samsun;1712;Vezirköprü
;55;Samsun;1993;Yakakent
;56;Siirt;1878;Aydınlar
;56;Siirt;1179;Baykan
;56;Siirt;1317;Eruh
;56;Siirt;1495;Kurtalan
;56;Siirt;1575;Pervari
;56;Siirt;1620;Siirt Merkez
;56;Siirt;1662;Şirvan
;57;Sinop;1156;Ayancık
;57;Sinop;1204;Boyabat
;57;Sinop;1910;Dikmen
;57;Sinop;1290;Durağan
;57;Sinop;1314;Erfelek
;57;Sinop;1349;Gerze
