Kod,Tanım
01.61.03,Bitkisel üretimi destekleyici tarımsal amaçlı sulama faaliyetleri
01.61.04,"Bitkisel üretimi destekleyici ilaçlama ve zirai mücadele faaliyetleri (zararlı otların imhası dahil, hava yoluyla yapılanlar hariç)"
01.61.05,"Çiçek yetiştiriciliğini destekleyici gübreleme, tarlanın sürülmesi, ekilmesi, bakımı, toplama vb. ile ilgili faaliyetler (hava yoluyla yapılan gübreleme hariç)"
01.61.06,"Hava yoluyla yapılan bitkisel üretimi destekleyici gübreleme, ilaçlama ve zirai mücadele faaliyetleri (zararlı otların imhası dahil)"
01.62,Hayvan üretimini destekleyici faaliyetler
01.62.01,"Hayvan üretimini destekleyici olarak sürülerin güdülmesi, başkalarına ait hayvanların beslenmesi, kümeslerin temizlenmesi, kırkma, sağma, barınak sağlama, nalbantlık vb. faaliyetler"
01.62.02,"Hayvan üretimini destekleyici olarak sürü testi, kümes hayvanlarının kısırlaştırılması, yapay dölleme, vb. faaliyetler"
01.63,Hasat sonrası bitkisel ürünler ile ilgili faaliyetler ve çoğaltma için tohumun işlenmesi
01.63.01,Hasat sonrası diğer ürünlerin ayıklanması ve temizlenmesi ile ilgili faaliyetler (pamuğun çırçırlanması ve nişastalı kök ürünleri hariç)
01.63.02,Sert kabuklu ürünlerin kabuklarının kırılması ve temizlenmesi ile ilgili faaliyetler
01.63.03,"Haşhaş vb. ürünlerin sürtme, ezme ve temizlenmesi ile ilgili faaliyetler"
01.63.04,Mısır vb. ürünlerin tanelenmesi ve temizlenmesi ile ilgili faaliyetler
01.63.05,"Tütünün sınıflandırılması, balyalanması vb. hizmetler"
01.63.06,Nişastalı kök ürünlerinin ayıklanması ve temizlenmesi (patates vb.)
01.63.07,Çırçırlama faaliyeti
01.63.08,Üretim amaçlı tohum işleme hizmetleri (vernelizasyon işlemleri dahil)
01.63.90,Hasat sonrası bitkisel ürünler ile ilgili diğer faaliyetler
01.7,"Avcılık, tuzakla avlanma ve ilgili hizmet faaliyetleri"
01.70,"Avcılık, tuzakla avlanma ve ilgili hizmet faaliyetleri"
01.70.01,"Ticari olmayan av hayvanı ve yabani hayvan avlama ve yakalama faaliyetleri (yenilmesi, kürkleri, derileri, araştırmalarda kullanılmaları vb. amaçlar için) (balıkçılık hariç)"
01.70.02,"Ticari olan av hayvanı ve yabani hayvan avlama ve yakalama faaliyetleri (yenilmesi, kürkleri, derileri, araştırmalarda kullanılmaları vb. amaçlar için) (balıkçılık hariç)"
02,Ormancılık ile endüstriyel ve yakacak odun üretimi
02.1,Orman yetiştirme (silvikültür) ve diğer ormancılık faaliyetleri
02.10,Orman yetiştirme (silvikültür) ve diğer ormancılık faaliyetleri
02.10.01,Baltalık olarak işletilen ormanların yetiştirilmesi (kağıtlık ve yakacak odun üretimine yönelik olanlar dahil)
02.10.02,Orman yetiştirmek için fidan ve tohum üretimi
02.10.03,Orman ağaçlarının yetiştirilmesi (baltalık ormanların yetiştirilmesi hariç)
02.2,Endüstriyel ve yakacak odun üretimi
02.20,Endüstriyel ve yakacak odun üretimi
02.20.01,Endüstriyel ve yakacak odun üretimi (geleneksel yöntemlerle odun kömürü üretimi dahil)
02.3,Tabii olarak yetişen odun dışı orman ürünlerinin toplanması
02.30,Tabii olarak yetişen odun dışı orman ürünlerinin toplanması
02.30.01,Tabii olarak yetişen odun dışı orman ürünlerinin toplanması
02.4,Ormancılık için destekleyici faaliyetler
02.40,Ormancılık için destekleyici faaliyetler
02.40.01,"Ormanda ağaçların kesilmesi, dallarından temizlenmesi, soyulması vb. destekleyici faaliyetler"
02.40.02,"Ormanda kesilmiş ve temizlenmiş ağaçların taşınması, istiflenmesi ve yüklenmesi faaliyetleri"
02.40.03,"Ormanda silvikültürel hizmet faaliyetleri (seyreltilmesi, budanması, repikaj vb.)"
02.40.04,Ormanı zararlılara (böcek ve hastalıklar) karşı koruma faaliyetleri
02.40.05,Ormanı yangın ve kaçak kesime (izinsiz kesim) karşı koruma faaliyetleri
02.40.06,Ormanı koruma ve bakım amaçlı orman yolu yapımı ve bakımı faaliyetleri
02.40.90,Diğer ormancılık hizmet faaliyetleri
03,Balıkçılık ve su ürünleri yetiştiriciliği
03.1,Balıkçılık
03.11,Deniz balıkçılığı
03.11.01,"Deniz ve kıyı sularında yapılan balıkçılık (gırgır balıkçılığı, dalyancılık dahil)"
03.11.02,"Deniz kabuklularının (midye, ıstakoz vb.), yumuşakçaların, diğer deniz canlıları ve ürünlerinin toplanması (sedef, doğal inci, sünger, mercan, deniz yosunu, vb.)"
03.12,Tatlı su balıkçılığı
03.12.01,Tatlı su balıklçılığı
03.2,Su ürünleri yetiştiriciliği
03.21,Deniz ürünleri yetiştiriciliği
03.21.01,Denizde yapılan balık yetiştiriciliği
03.21.02,Denizde yapılan diğer su ürünleri yetiştiriciliği
03.22,Tatlı su ürünleri yetiştiriciliği
03.22.01,Tatlı sularda yapılan balık yetiştiriciliği
03.22.02,Tatlısu ürünleri yetiştiriciliği (balık hariç)
03.3,Balıkçılık ve su ürünleri yetiştiriciliği için destekleyici faaliyetler
03.30,Balıkçılık ve su ürünleri yetiştiriciliği için destekleyici faaliyetler
03.30.01,Balıkçılık ve su ürünleri yetiştiriciliği için destekleyici faaliyetler
03.30.02,Balık kafeslerinin onarım ve bakım hizmeti faaliyetleri
B,MADENCİLİK VE TAŞ OCAKÇILIĞI
05,Kömür ve linyit çıkartılması
05.1,Taş kömürü madenciliği
05.10,Taş kömürü madenciliği
05.10.01,Taş kömürü madenciliği
05.10.02,Taş kömürü madenciliği için maden sahasının hazırlanması
05.2,Linyit madenciliği
05.20,Linyit madenciliği
05.20.01,Linyit madenciliği
05.20.02,Linyit madenciliği için maden sahasının hazırlanması
06,Ham petrol ve doğal gaz çıkarımı
06.1,Ham petrol çıkarımı
06.10,Ham petrol çıkarımı
06.10.01,Ham petrol çıkarımı
06.2,Doğal gaz çıkarımı
06.20,Doğal gaz çıkarımı
06.20.01,Doğal gaz çıkarımı
07,Metal cevherleri madenciliği
07.1,Demir cevherleri madenciliği
07.10,Demir cevherleri madenciliği
07.10.01,Demir cevheri madenciliği (sinterlenmiş demir cevheri üretimi dahil)
07.10.02,Demir cevheri madenciliği için maden sahasının hazırlanması
07.2,Demir dışı metal cevherleri madenciliği
07.21,Uranyum ve toryum cevherleri madenciliği
07.21.01,Katran ve zift ihtiva eden cevherlerden uranyum metalinin ayrıştırılması
07.21.02,Katran ve zift ihtiva eden cevherlerden toryum metalinin ayrıştırılması
07.21.03,Uranyum madenciliği
07.21.04,Toryum madenciliği
07.21.05,Sarı pasta (U3O8) imalatı (uranyum cevherinden elde edilen)
07.21.06,Uranyum ve toryum cevheri madenciliği için maden sahasının hazırlanması
07.29,Diğer demir dışı metal cevherleri madenciliği
07.29.01,"Altın, gümüş, platin gibi değerli metal madenciliği"
07.29.02,Alüminyum madenciliği
07.29.03,Bakır madenciliği
07.29.04,Nikel madenciliği
07.29.05,"Kurşun, çinko ve kalay madenciliği"
07.29.06,Krom madenciliği
07.29.08,Diğer demir dışı metal cevherleri madenciliği için maden sahasının hazırlanması
07.29.99,"Başka yerde sınıflandırılmamış demir dışı diğer metal cevherleri madenciliği (cıva, manganez, kobalt, molibden, tantal, vanadyum vb.)"
08,Diğer madencilik ve taş ocakçılığı
08.1,"Kum, kil ve taş ocakçılığı"
08.11,"Süs taşı, kireç taşı, alçı taşı, arduvaz ve diğer taşların taş ocakçılığı"
08.11.01,Mermer ocakçılığı (traverten dahil)
08.11.02,Granit ocakçılığı
08.11.03,Yapı taşları ocakçılığı
08.11.04,Süsleme ve yapı taşlarının kırılması ve kabaca kesilmesi
08.11.05,Dolomit ve kayağan taşı (arduvaz / kayraktaşı) ocakçılığı
08.11.06,Kireçtaşı (kalker) ocakçılığı (kireçtaşının kabaca kırılması ve parçalanması dahil)
08.11.07,"Tebeşir, alçıtaşı ve anhidrit ocakçılığı (çıkarma, parçalama, pişirme işlemi dahil)"
08.11.08,"Süsleme ve yapı taşları ile kireç taşı, alçı taşı, tebeşir ve kayağantaşı (arduvaz-kayraktaşı) ocakçılığı için taş ocağı sahasının hazırlanması"
08.12,Çakıl ve kum ocaklarının işletilmesi ve kil ve kaolin madenciliği
08.12.01,Çakıl ve kum ocakçılığı (taşların kırılması ile kil ve kaolin madenciliği hariç)
08.12.02,Çakıl taşlarının kırılması ve parçalanması
08.12.03,"Kil, refrakter kil ve kaolin madenciliği ile bentonit, andaluzit, siyanit, silimanit, mulit, şamot veya dinas toprakları çıkarımı"
08.12.04,Çakıl ve kum ocaklarının faaliyetleri ve kil ve kaolin çıkarımı için maden sahasının hazırlanması
08.9,Başka yerde sınıflandırılmamış madencilik ve taş ocakçılığı
08.91,Kimyasal ve gübreleme amaçlı mineral madenciliği
08.91.01,"Kimyasal ve gübreleme amaçlı mineral madenciliği (bor, kükürt madenciliği hariç)"
08.91.02,Bor mineralleri madenciliği
08.91.03,Kükürt madenciliği (ocakçılığı)
08.91.04,"Guano madenciliği (kuş gübresi, güherçile dahil)"
08.91.05,"Kehribar, oltu taşı ve lületaşı ocakçılığı"
08.91.06,Kimyasal ve gübreleme amaçlı mineral madenciliği için maden sahasının hazırlanması
08.92,Turba çıkarımı
08.92.01,Turba çıkarılması ve toplanması
08.92.02,Turba çıkarımı için maden sahasının hazırlanması
08.93,Tuz çıkarımı
08.93.01,Kaya tuzunun çıkarımı (tuzun elenmesi ve kırılması dahil) (tuzun yemeklik tuza dönüştürülmesi hariç)
08.93.02,"Deniz, göl ve kaynak tuzu üretimi (tuzun yemeklik tuza dönüştürülmesi hariç)"
08.93.03,Tuz çıkarımı için maden sahasının hazırlanması
08.99,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı
08.99.01,"Aşındırıcı (törpüleyici) materyaller (zımpara), amyant, silisli fosil artıklar, arsenik cevherleri, sabuntaşı (talk) ve feldispat madenciliği (kuartz, mika, şist, talk, silis, sünger taşı, asbest, doğal korindon vb.)"
08.99.02,"Doğal asfalt, asfaltit, asfaltlı taş (doğal katı zift) ve bitüm madenciliği"
08.99.03,"Kıymetli ve yarı kıymetli taşların ocakçılığı (kehribar, Oltu taşı, lüle taşı ve elmas hariç)"
08.99.04,Grafit ocakçılığı
08.99.05,Elmas (endüstri elmasları dahil) madenciliği
08.99.06,Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı için maden sahasının hazırlanması
08.99.99,"Başka yerde sınıflandırılmamış diğer madencilik ve taş ocakçılığı (elmas, grafit vb.)"
09,Madenciliği destekleyici hizmet faaliyetleri
09.1,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler
09.10,Petrol ve doğal gaz çıkarımını destekleyici faaliyetler
09.10.01,Doğalgazın sıvılaştırılması ve gaz haline getirilmesi (maden alanında gerçekleştirilenler)
09.10.02,"Petrol ve gaz çıkarımıyla ilgili sondaj hizmetleri (tetkik, araştırma hizmetleri, jeolojik gözlemler, kuyu çalıştırılması ve kapatılması ile test amaçlı sondaj faaliyetleri vb. dahil)"
09.10.03,"Petrol ve gaz çıkarımı ile ilgili vinç ve sondaj kulesi kurma, onarım, sökme vb. hizmet faaliyetleri"
09.9,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler
09.90,Madencilik ve taş ocakçılığını destekleyici diğer faaliyetler
09.90.01,Madencilik ve taş ocakçılığını destekleyici diğer hizmet faaliyetleri (test amaçlı sondaj faaliyetleri ile petrol ve doğalgaz için yapılanlar hariç)
09.90.02,Madencilik ve taş ocakçılığını destekleyici test amaçlı sondaj faaliyetleri (petrol ve doğalgaz için yapılanlar hariç)
C,İMALAT
10,Gıda ürünlerinin imalatı
10.1,Etin işlenmesi ve saklanması ile et ürünlerinin imalatı
10.11,Etin işlenmesi ve saklanması (mezbahacılık) (kümes hayvanlarının eti hariç)
10.11.01,Etin işlenmesi ve saklanması (mezbahacılık) (kümes hayvanlarının eti hariç)
10.12,Kümes hayvanları etlerinin işlenmesi ve saklanması
10.12.01,Kümes hayvanları etlerinin üretimi (taze veya dondurulmuş) (yenilebilir sakatatları dahil)
10.12.02,"Kümes hayvanlarının kesilmesi, temizlenmesi veya paketlenmesi işi ile uğraşan mezbahaların faaliyetleri"
10.12.03,Kümes hayvanlarının yağlarının sofra yağına çevrilmesi
10.12.04,Kuş tüyü ve ince kuş tüyü imalatı (derileri dahil)
10.13,Et ve kümes hayvanları etlerinden üretilen ürünlerin imalatı
10.13.01,Et ve kümes hayvanları etlerinden üretilen pişmemiş köfte vb. ürünlerin imalatı
10.13.02,"Et ve kümes hayvanları etlerinden üretilen sosis, salam, sucuk, pastırma, kavurma et, konserve et, salamura et, jambon vb. tuzlanmış, kurutulmuş veya tütsülenmiş ürünlerin imalatı (yemek olanlar hariç)"
10.13.03,Et ve sakatat unları imalatı (et ve kümes hayvanları etlerinden üretilen)
10.13.04,"Sığır, koyun, keçi vb. hayvanların sakatat ve yağlarından yenilebilir ürünlerin imalatı"
10.2,"Balık, kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması"
10.20,"Balık, kabuklu deniz hayvanları ve yumuşakçaların işlenmesi ve saklanması"
10.20.03,"Balıkların, kabuklu deniz hayvanlarının ve yumuşakçaların işlenmesi ve saklanması"
10.20.04,"Balık, kabuklu deniz hayvanı ve yumuşakça ürünlerinin üretimi"
10.20.05,"Balık unları, kaba unları ve peletlerinin üretilmesi (insan tüketimi için)"
10.20.06,Balığın sadece işlenmesi ve saklanmasıyla ilgili faaliyet gösteren tekne ve gemilerin faaliyetleri
10.20.07,"Pişirilmemiş balık yemekleri imalatı (mayalanmış balık, balık hamuru, balık köftesi vb.)"
10.20.08,"Balıkların, kabukluların, yumuşakçaların veya diğer su omurgasızlarının unları, kaba unları ve peletlerinin üretimi (insan tüketimine uygun olmayan) ile bunların diğer yenilemeyen ürünlerinin üretimi"
10.3,Sebze ve meyvelerin işlenmesi ve saklanması
10.31,Patatesin işlenmesi ve saklanması
10.31.01,"Patatesin işlenmesi ve saklanması (dondurulmuş, kurutulmuş, suyu çıkartılmış, ezilmiş patates imalatı) (soyulması dahil)"
10.31.02,"Patates cipsi, patates çerezi, patates unu ve kaba unlarının imalatı"
10.32,Sebze ve meyve suyu imalatı
10.32.01,Katkısız sebze ve meyve suları imalatı
10.32.02,Konsantre meyve ve sebze suyu imalatı
10.39,Meyve ve sebzelerin diğer şekillerde işlenmesi ve korunması
10.39.01,"Sebze ve meyve konservesi imalatı (salça, domates püresi dahil, patatesten olanlar hariç)"
10.39.02,"Kavrulmuş, tuzlanmış vb. şekilde işlem görmüş sert kabuklu yemişler ile bu meyvelerin püre ve ezmelerinin imalatı (pişirilerek yapılanlar)"
10.39.03,"Meyve ve sebzelerden jöle, pekmez, marmelat, reçel vb. imalatı (pestil imalatı dahil)"
10.39.04,"Tuzlu su, sirke, sirkeli su, yağ veya diğer koruyucu çözeltilerle korunarak saklanan sebze ve meyvelerin imalatı (turşu, salamura yaprak, sofralık zeytin vb. dahil)"
10.39.05,Dondurulmuş veya kurutulmuş meyve ve sebzelerin imalatı
10.39.06,"Leblebi imalatı ile kavrulmuş çekirdek, yerfıstığı vb. üretimi (sert kabuklular hariç)"
10.39.07,Susamın işlenmesi ve tahin imalatı
10.39.99,Başka yerde sınıflandırılmamış meyve ve sebzelerin başka yöntemlerle işlenmesi ve saklanması (kesilmiş ve paketlenmiş olanlar dahil)
10.4,Bitkisel ve hayvansal sıvı ve katı yağların imalatı
10.41,Sıvı ve katı yağ imalatı
10.41.01,Ayçiçek yağı imalatı
10.41.02,"Bitkisel sıvı yağ (yenilebilen) imalatı (soya, susam, haşhaş, pamuk, fındık, kolza, hardal vb. yağlar) (zeytin yağı, ayçiçeği yağı ve mısır yağı hariç)"
10.41.03,Beziryağı imalatı
10.41.05,Prina yağı imalatı (diğer küspelerden elde edilen yağlar dahil) (mısır yağı hariç)
10.41.06,"Kakao yağı, badem yağı, kekik yağı, defne yağı, hurma çekirdeği veya babassu yağı, keten tohumu yağı, Hint yağı, tung yağı ve diğer benzer yağların imalatı (bezir yağı hariç)"
10.41.07,"Zeytinyağı imalatı (saf, sızma, rafine)"
10.41.10,Balık ve deniz memelilerinden yağ elde edilmesi
10.41.11,"Domuz don yağı (stearin), domuz sıvı yağı, oleostarin, oleoil ve yenilemeyen sıvı don yağı (tallow oil) ile diğer hayvansal katı ve sıvı yağların imalatı (işlenmemiş)"
10.42,Margarin ve benzeri yenilebilir katı yağların imalatı
10.42.01,Margarin ve benzeri yenilebilir katı yağların imalatı
10.5,Süt ürünleri ve yenilebilir buz imalatı
10.51,Süt ürünleri imalatı
10.51.01,"Süt imalatı, işlenmiş (pastörize edilmiş, sterilize edilmiş, homojenleştirilmiş ve/veya yüksek ısıdan geçirilmiş) (katı veya toz halde süt hariç)"
10.51.02,"Peynir, lor ve çökelek imalatı"
10.51.03,"Süt tozu, peynir özü (kazein), süt şekeri (laktoz) ve peynir altı suyu (kesilmiş sütün suyu) imalatı (katı veya toz halde süt, krema dahil)"
10.51.04,"Süt temelli hafif içeceklerin imalatı (kefir, salep vb.)"
10.51.90,Sütten yapılan diğer ürünlerin imalatı
10.52,Dondurma ve diğer yenilebilir buzların imalatı
10.52.01,"Dondurma imalatı (sade, sebzeli, meyveli vb.)"
10.52.02,Şerbetli diğer yenilebilen buzlu gıdaların imalatı
10.6,"Öğütülmüş tahıl ürünleri, nişasta ve nişastalı ürünlerin imalatı"
10.61,Öğütülmüş hububat ve sebze ürünleri imalatı
10.61.01,Kahvaltılık tahıl ürünleri ile diğer taneli tahıl ürünlerinin imalatı
10.61.02,Tahılların öğütülmesi ve un imalatı
10.61.05,"Pirinç, pirinç ezmesi ve pirinç unu imalatı (çeltik fabrikası ve ürünleri dahil)"
10.61.06,İrmik imalatı
10.61.07,"Ön pişirme yapılmış veya başka şekilde hazırlanmış tane halde hububat imalatı (bulgur dahil, mısır hariç)"
10.61.08,Sebzelerin ve baklagillerin öğütülmesi ve sebze unu ile ezmelerinin imalatı (karışımları ile hazır karıştırılmış sebze unları dahil) (pişirilerek yapılanlar hariç)
10.61.09,Fırıncılık ürünlerinin imalatında kullanılan hamur ve un karışımlarının imalatı (sebze un karışımları hariç)
10.61.90,Dövülmüş diğer tahıl ürünlerinin imalatı (bulgur ve irmik hariç)
10.62,Nişasta ve nişastalı ürünlerin imalatı
10.62.01,"Nişasta imalatı (buğday, pirinç, patates, mısır, manyok vb. ürünlerden)"
10.62.02,"Glikoz, glikoz şurubu, fruktoz, maltoz, inulin, vb. imalatı (invert şeker dahil)"
10.62.04,Yaş mısırın öğütülmesi
10.62.05,Glüten imalatı
10.62.06,Mısır yağı imalatı
10.7,Fırın ve unlu mamuller imalatı
10.71,"Ekmek, taze pastane ürünleri ve taze kek imalatı"
10.71.01,"Taze pastane ürünleri imalatı (yaş pasta, kuru pasta, poğaça, kek, börek, pay, turta, waffles vb.)"
10.71.02,Ekmek imalatı (sade pide dahil)
10.71.03,"Hamur tatlıları imalatı (tatlandırılmış kadayıf, lokma tatlısı, baklava vb.)"
10.71.04,Simit imalatı
10.72,"Peksimet, bisküvi, dayanıklı pastane ürünleri ve kek imalatı"
10.72.01,"Peksimet, bisküvi, gofret, dondurma külahı, kağıt helva vb. ürünlerin imalatı (çikolata kaplı olanlar dahil)"
10.72.02,"Tatlı veya tuzlu hafif dayanıklı fırın ve pastane ürünlerinin imalatı (kurabiyeler, krakerler, galeta, gevrek halkalar vb.)"
10.72.03,"Tatlandırılmamış dayanıklı hamur tatlıları imalatı (pişirilmiş olsun olmasın tatlandırılmamış kadayıf, baklava vb.) (yufka imalatı dahil)"
10.73,"Makarna, şehriye, kuskus ve benzeri unlu mamullerin imalatı"
10.73.03,"Makarna, şehriye, kuskus ve benzeri mamullerin imalatı (doldurulmuş veya dondurulmuş olanlar dahil)"
10.8,Diğer gıda maddelerinin imalatı
10.81,Şeker imalatı
10.81.01,"Şeker kamışından, pancardan, palmiyeden, akça ağaçtan şeker (sakkaroz) ve şeker ürünleri imalatı veya bunların rafine edilmesi (sıvı şeker ve melas üretimi dahil)"
10.81.03,Akçaağaç şurubu imalatı
10.82,"Kakao, çikolata ve şekerleme imalatı"
10.82.01,Çikolata ve kakao içeren şekerlemelerin imalatı (beyaz çikolata ve sürülerek yenebilen kakaolu ürünler hariç)
10.82.02,Şekerlemelerin ve şeker pastillerinin imalatı (bonbon şekeri vb.) (kakaolu şekerlemeler hariç)
10.82.03,Sürülerek yenebilen kakaolu ürünlerin imalatı
10.82.04,"Lokum, pişmaniye, helva, karamel, koz helva, fondan, beyaz çikolata vb. imalatı (tahin helvası dahil)"
10.82.05,Ciklet imalatı (sakız)
10.82.06,"Sert kabuklu yemiş, meyve, meyve kabuğu ve diğer bitki parçalarından şekerleme imalatı (meyan kökü hülasaları dahil)"
10.82.07,"Kakao tozu, kakao ezmesi/hamuru ve kakao yağı imalatı"
10.83,Kahve ve çayın işlenmesi
10.83.01,"Çay ürünleri imalatı (siyah çay, yeşil çay ve poşet çay ile çay ekstre, esans ve konsantreleri)"
10.83.02,"Kahve ürünleri imalatı (çekilmiş kahve, çözünebilir kahve ile kahve ekstre, esans ve konsantreleri)"
10.83.03,"Bitkisel çayların imalatı (nane, yaban otu, papatya, ıhlamur, kuşburnu vb. çaylar)"
10.83.04,"Kahve içeren ve kahve yerine geçebilecek ürünlerin imalatı (şeker, süt vb. karıştırılmış ürünler dahil)"
